LinkID,평균시간,거리,시/도,시/군,유출인구,정류장수,,LinkID,평균속도시간,거리,시/도,시/군,유입인구,,가평군,880
1011947,0.007911569,0.197,경기도,시흥시,89081,960,,1014901,0.022954996,0.849,서울특별시,강서구,108882,,,
1011948,0.001664951,0.056,경기도,시흥시,89081,960,,1014902,0.010425485,0.49,서울특별시,양천구,67561,,,
1011949,0.060091557,1.581,경기도,시흥시,89081,960,,1014908,0.021865754,0.694,서울특별시,강서구,108882,,,
1011950,0.016398814,0.334,경기도,시흥시,89081,960,,1014909,0.026092837,0.694,서울특별시,강서구,108882,,,
1011951,0.023493565,0.758,경기도,시흥시,89081,960,,1014924,0.019217288,0.86,서울특별시,양천구,67561,,,
1011952,0.014784194,0.618,경기도,시흥시,89081,960,,1014925,0.045261826,0.86,서울특별시,강서구,108882,,,
1011953,0.009236765,0.26,경기도,시흥시,89081,960,,1014926,0.017355477,0.43,서울특별시,양천구,67561,,,
1011954,0.01485096,0.518,경기도,시흥시,89081,960,,1014927,0.03139866,0.43,서울특별시,양천구,67561,,,
1011955,0.018319347,0.623,경기도,시흥시,89081,960,,1014928,0.012025178,0.534,서울특별시,양천구,67561,,,
1011956,0.014187437,0.534,경기도,시흥시,89081,960,,1014957,0.005103833,0.229,서울특별시,양천구,67561,,,
1011957,0.014443154,0.522,경기도,시흥시,89081,960,,1014958,0.002887093,0.118,서울특별시,양천구,67561,,,
1011958,0.003217103,0.174,경기도,시흥시,89081,960,,1014959,0.00593256,0.209,서울특별시,양천구,67561,,,
1011959,0.001909851,0.091,경기도,시흥시,89081,960,,1014960,0.003912658,0.208,서울특별시,양천구,67561,,,
1011960,0.002330458,0.091,경기도,시흥시,89081,960,,1014961,0.002399392,0.126,서울특별시,양천구,67561,,,
1011961,0.011377612,0.533,경기도,시흥시,89081,960,,1014962,0.002279531,0.126,서울특별시,양천구,67561,,,
1011962,0.015859522,0.533,경기도,시흥시,89081,960,,1014963,0.006468537,0.318,서울특별시,양천구,67561,,,
1011963,0.009677731,0.441,경기도,시흥시,89081,960,,1014964,0.000145455,0.007,서울특별시,양천구,67561,,,
1011964,0.012257335,0.441,경기도,시흥시,89081,960,,1014965,0.000136507,0.007,서울특별시,양천구,67561,,,
1011965,0.013430544,0.413,경기도,시흥시,89081,960,,1014966,0.004103241,0.2,서울특별시,양천구,67561,,,
1011966,0.008688726,0.413,경기도,시흥시,89081,960,,1014967,0.004986723,0.2,서울특별시,양천구,67561,,,
1011967,0.018955764,0.618,경기도,시흥시,89081,960,,1014968,0.006105574,0.187,서울특별시,양천구,67561,,,
1011968,0.020522845,0.618,경기도,시흥시,89081,960,,1014969,0.003237578,0.129,서울특별시,양천구,67561,,,
1011969,0.027416108,0.512,경기도,시흥시,89081,960,,1014970,0.002682303,0.129,서울특별시,양천구,67561,,,
1011970,0.050754453,0.512,경기도,시흥시,89081,960,,1014971,0.003393015,0.073,서울특별시,강서구,108882,,,
1011971,0.013774131,0.64,경기도,시흥시,89081,960,,1014972,0.007004902,0.294,서울특별시,강서구,108882,,,
1011972,0.018471389,0.64,경기도,시흥시,89081,960,,1014973,0.007868474,0.294,서울특별시,강서구,108882,,,
1011973,0.018698428,0.578,경기도,시흥시,89081,960,,1014974,0.001104661,0.041,서울특별시,강서구,108882,,,
1011974,0.016989895,0.636,경기도,시흥시,89081,960,,1014975,0.001326403,0.041,서울특별시,강서구,108882,,,
1011975,0.024737317,0.636,경기도,시흥시,89081,960,,1014976,0.002478965,0.064,서울특별시,강서구,108882,,,
