start,end,총시간,총거리,유출인구,정류장수,평균버스,평균승용차,평균트럭,평균교통량,버스비율,승용차비율,트럭비율,1인가구수,면적당지하철,광역버스,출근급행,총광역급행,광역비율,급행비율,남경제,남비경제,여경제,여비경제,평균속도
1085861,1038184,0.818065558,45.456,63773,384,5288.5,78922.5,18933.5,103144.5,0.051272729,0.765164405,0.183562866,21737,0.09354537,1,0,1,1,0,0.369917449,0.14424555,0.302050687,0.183786314,55.56522892
1085861,1018343,1.063810407,55.04,63773,384,7083,155261,30376,192720,0.036752802,0.805629929,0.157617269,21737,0.09354537,1,0,1,1,0,0.369917449,0.14424555,0.302050687,0.183786314,51.73854254
1085924,1070623,0.856519395,37.72,81314.81542,500,2213,95613.5,22376,120202.5,0.018410599,0.795436867,0.186152534,33728,0.084799661,0,3,3,0,1,0.376940774,0.127299235,0.320520571,0.17523942,44.03869921
1085926,1070473,0.715756883,31.131,81314.81542,500,3146.5,121433.5,24799,149379,0.021063871,0.812922164,0.166013964,33728,0.084799661,0,3,3,0,1,0.376940774,0.127299235,0.320520571,0.17523942,43.49381856
1085934,1038125,0.781531839,33.926,81314.81542,500,3548.5,152447,29061,185056.5,0.019175225,0.823786249,0.157038526,33728,0.084799661,0,3,3,0,1,0.376940774,0.127299235,0.320520571,0.17523942,43.40961981
1085935,1096130,0.833271427,35.631,81314.81542,500,2154.5,99576,21567,123297.5,0.017473996,0.807607616,0.174918388,33728,0.084799661,0,3,3,0,1,0.376940774,0.127299235,0.320520571,0.17523942,42.76037657
1085935,1096130,0.835376984,35.612,81314.81542,500,2106.5,96450.5,21077,119634,0.017607871,0.806213117,0.176179013,33728,0.084799661,0,3,3,0,1,0.376940774,0.127299235,0.320520571,0.17523942,42.62985536
1085942,1070216,0.804384828,45.495,81314.81542,500,2305.5,99229,26794.5,128329,0.017965542,0.773239096,0.208795362,33728,0.084799661,0,3,3,0,1,0.376940774,0.127299235,0.320520571,0.17523942,56.55874951
1085986,1070457,0.763744198,32.935,81314.81542,500,3615.5,156105.5,29838,189559,0.019073217,0.823519326,0.157407456,33728,0.084799661,0,3,3,0,1,0.376940774,0.127299235,0.320520571,0.17523942,43.12307719
1086008,1070463,0.796299182,35.506,81314.81542,500,2786,125418,23560.5,151764.5,0.018357389,0.826398796,0.155243815,33728,0.084799661,0,3,3,0,1,0.376940774,0.127299235,0.320520571,0.17523942,44.58876865
1086025,1097330,0.78520873,29.761,81314.81542,500,3127.5,130946.5,23739.5,157813.5,0.019817696,0.829754742,0.150427562,33728,0.084799661,0,3,3,0,1,0.376940774,0.127299235,0.320520571,0.17523942,37.90202384
1086063,1096155,0.664506485,30.077,81314.81542,500,2824.5,118928,24961.5,146714,0.019251741,0.810611121,0.170137138,33728,0.084799661,0,3,3,0,1,0.376940774,0.127299235,0.320520571,0.17523942,45.26216174
1086077,1098180,0.753647059,42.959,81314.81542,500,2011.5,92089.5,25052.5,119153.5,0.016881586,0.772864414,0.210254,33728,0.084799661,0,3,3,0,1,0.376940774,0.127299235,0.320520571,0.17523942,57.00148297
1086078,1038363,0.667201179,31.582,81314.81542,500,1034,93276.5,11197.5,105508,0.009800205,0.884070402,0.106129393,33728,0.084799661,0,3,3,0,1,0.376940774,0.127299235,0.320520571,0.17523942,47.33504825
1086103,1017973,0.738041933,28.436,65342.19488,351,2910.5,127294,22460,152664.5,0.019064681,0.833815327,0.147119992,25876,0.029994001,0,4,4,0,1,0.370297744,0.132995639,0.31123665,0.185469968,38.5289761
1086104,1090929,0.814418784,31.607,65342.19488,351,3144.5,136593.5,23743,163481,0.019234651,0.835531346,0.145234003,25876,0.029994001,0,4,4,0,1,0.370297744,0.132995639,0.31123665,0.185469968,38.80927186
1086104,1090929,1.059554756,37.895,65342.19488,351,3807,158385,26223,188415,0.020205398,0.840617785,0.139176817,25876,0.029994001,0,4,4,0,1,0.370297744,0.132995639,0.31123665,0.185469968,35.76502279
1086119,1041048,0.655324123,35.701,65342.19488,351,1664,82839.5,21757.5,106261,0.015659555,0.779585172,0.204755272,25876,0.029994001,0,4,4,0,1,0.370297744,0.132995639,0.31123665,0.185469968,54.47838519
1086150,1095635,0.887695665,46.664,42988.97666,260,1966,98838,26928.5,127732.5,0.015391541,0.773788973,0.210819486,26579,0.388802488,0,4,4,0,1,0.386455104,0.116669443,0.311476731,0.185398722,52.56756548
1086150,1095634,0.995363807,42.208,42988.97666,260,4106.5,196967.5,34681.5,235755.5,0.01741847,0.835473616,0.147107915,26579,0.388802488,0,4,4,0,1,0.386455104,0.116669443,0.311476731,0.185398722,42.40459589
1086150,1038561,0.749352686,31.255,42988.97666,260,3467,150550.5,29733.5,183751,0.018867925,0.81931799,0.161814085,26579,0.388802488,0,4,4,0,1,0.386455104,0.116669443,0.311476731,0.185398722,41.70933205
1086150,1095635,1.037137108,43.157,42988.97666,260,4096.5,194881,34013,232990.5,0.017582262,0.836433245,0.145984493,26579,0.388802488,0,4,4,0,1,0.386455104,0.116669443,0.311476731,0.185398722,41.61166317
1086150,1070039,1.135252398,37.242,42988.97666,260,2250,136279.5,26849,165378.5,0.013605154,0.824046052,0.162348794,26579,0.388802488,0,4,4,0,1,0.386455104,0.116669443,0.311476731,0.185398722,32.80503971
1086163,1069752,0.942378583,45.637,65342.19488,351,4406.5,196985,36254.5,237646,0.018542286,0.82890097,0.152556744,25876,0.029994001,0,4,4,0,1,0.370297744,0.132995639,0.31123665,0.185469968,48.4274588
